term,estimate,IRR,IRR_low,IRR_high,std.error,p.value,signif
(Intercept),-12.275947934597196,4.662550534300538e-6,1.0083155461357053e-6,2.2111451592012038e-5,0.7876472656959767,9.323885718296149e-55,***
log_BonusMalus,2.068956757424949,7.916559915984636,5.9793470123113055,10.414194301470971,0.1415299301110337,2.1770032061083796e-48,***
DrivAge,0.030950804654575902,1.03143476084903,1.004929851793569,1.0591984368883385,0.013413993637096453,0.021035506163911262,*
I(DrivAge^2),-2.392842278327979e-4,0.9997607443983547,0.9994964715037529,1.0000175142698595,1.3291972799663206e-4,0.07182697468583116,.
VehAge,0.02142948382355714,1.0216607441879004,0.9873800652825663,1.060004175535128,0.01823103230365574,0.23981915847293342,
I(VehAge^2),-0.0017376519012551822,0.9982638569417353,0.9962738561612389,1.0000240742710325,9.686458998045333e-4,0.07282990296804276,.
VehPower,0.029883284780537454,1.0303342712448211,0.9986757281614026,1.0621924032807375,0.01572793082952874,0.0574317395415964,.
VehGasRegular,-0.16811149462659214,0.8452595875286457,0.7446282045822085,0.9593818280230818,0.06462670570467516,0.009288140686491204,**
AreaB,0.09554075434360716,1.100253661235998,0.8438850251237234,1.4306041071160431,0.13447193397173843,0.4774015425550643,
AreaC,0.1709483322531668,1.1864294473017458,0.956396296905157,1.478758445035701,0.11107758488632619,0.12380491874292408,
AreaD,0.3120030322714599,1.3661588355876462,1.0909429515426263,1.7177758417714146,0.11572430561961997,0.0070160641150314755,**
AreaE,0.38543031601077615,1.470246856098461,1.1575142634855349,1.874087642347943,0.12284260694061652,0.001703475121220169,**
AreaF,0.42856513232526494,1.5350533441510539,0.9400811824073037,2.4603020691254587,0.2447006604005169,0.07988002061784256,.
RegionRhone-Alpes,0.1801304277526842,1.1973735236755703,0.9684005949885304,1.4770937451403565,0.10763106669957959,0.09421139089451676,.
RegionProvence-Alpes-Cotes-D'Azur,0.06931760966321383,1.0717765616886556,0.8433619568210675,1.3550318162423853,0.1208627379185332,0.5662905429968523,
RegionIle-de-France,-0.08641569424095472,0.9172128718526376,0.6824590644120299,1.2190853008029114,0.14781004330470604,0.5587898614409312,
RegionBretagne,0.010007525551729799,1.0100577682975518,0.76792788225045,1.3125269849654935,0.1365311628624602,0.941568629609781,
RegionPays-de-la-Loire,0.01606606259494129,1.016195815721224,0.7575118050846188,1.3422465259567944,0.14567479250485796,0.9121816538641454,
RegionLanguedoc-Roussillon,-0.027745022098038873,0.9726363359588897,0.6855921505018072,1.3455319211744314,0.17156236588585685,0.8715266029861687,
RegionAquitaine,0.018902915498670653,1.0190827066782302,0.7180347863449112,1.4093262488127607,0.1715791650633961,0.9122744068334907,
RegionNord-Pas-de-Calais,-0.035517725522066064,0.9651056270772954,0.6640151447664828,1.3633169360792636,0.18298777987540202,0.8460985064895321,
RegionPoitou-Charentes,0.0429119933954899,1.0438460254637831,0.7027556433064157,1.4950129537657915,0.19190063426890613,0.8230564186850894,
RegionMidi-Pyrenees,-0.33027125160422965,0.7187287506618041,0.40015348756493924,1.186021315225048,0.27510297789199173,0.22993134487830005,
RegionLorraine,-0.1395744445961818,0.8697282742241601,0.5167572058964032,1.3720126441281721,0.24763329693963682,0.5730037070971574,
RegionBasse-Normandie,-0.021387744190427167,0.978839351705889,0.5786322659568567,1.5460140543472343,0.24916993252822323,0.9315968331433739,
RegionBourgogne,-0.018752527773412662,0.9814222069316804,0.5360714187270592,1.639183075633849,0.2828429987497728,0.9471388987534781,
RegionHaute-Normandie,-0.05693649008645972,0.9446540623592542,0.43714247487749275,1.7620692360926566,0.3511821958326785,0.8712050537288732,
RegionPicardie,0.057906000778152264,1.059615388006907,0.5600689968855963,1.8128782652118314,0.297020762649649,0.8454273966602024,
RegionAuvergne,-0.1370202647160296,0.8719525560821305,0.32477090513525436,1.8520094010726347,0.435483037959361,0.753035308100978,
RegionLimousin,0.28252862346854096,1.326479743004554,0.5856470553753376,2.5454532674468546,0.3696315406324634,0.44465774501484334,
RegionCorse,-0.026211823073403792,0.9741287248127275,0.34894038276952527,2.117476542588603,0.4504259736261107,0.9535945875404803,
RegionChampagne-Ardenne,-0.14083773365202984,0.8686302497209681,0.21206398167138663,2.2925958250502454,0.5860094269457357,0.8100717503424624,
RegionAlsace,-0.04943964818431179,0.9517625970040081,0.2677484127957834,2.3513982918831213,0.5379044237931856,0.9267683140604743,
RegionFranche-Comte,-0.12374779720690185,0.8836026598425891,0.09691291364373956,3.2047559913376467,0.8307930309349331,0.8815920150009687,
